Name,Label,URL,Latitude,Longitude
Calder East,East Calder,https://www.wikidata.org/wiki/Q5327978,55.9,-3.46667
"Calder, East",East Calder,https://www.wikidata.org/wiki/Q5327978,55.9,-3.46667
"Calder, West",West Calder,https://www.wikidata.org/wiki/Q1011751,55.852,-3.56854
Callander,Callander,https://www.wikidata.org/wiki/Q1014066,56.244,-4.21446
Callender,Callander,https://www.wikidata.org/wiki/Q1014066,56.244,-4.21446
Cambuslang,Cambuslang,https://www.wikidata.org/wiki/Q1018505,55.81,-4.16
Cambusnethan,Cambusnethan,https://www.wikidata.org/wiki/Q5025693,55.7791,-3.89568
Camelon,Camelon,https://www.wikidata.org/wiki/Q1028477,56.00459722,-3.817452778
Campbelltown,Campbeltown,https://www.wikidata.org/wiki/Q1012490,55.42333333,-5.606111111
Campbelton,Campbeltown,https://www.wikidata.org/wiki/Q1012490,55.42333333,-5.606111111
Campbeltown,Campbeltown,https://www.wikidata.org/wiki/Q1012490,55.42333333,-5.606111111
Campsie,Campsie,https://www.wikidata.org/wiki/Q5028549,56.01777778,-4.240833333
Canary Islands,Canary Islands,https://www.wikidata.org/wiki/Q5813,28.46666667,-16.25
Canielon,Falkirk,https://www.wikidata.org/wiki/Q216802,56.001,-3.784
Cannobie,Canonbie,https://www.wikidata.org/wiki/Q5033327,55.078,-2.952
Canonbie,Canonbie,https://www.wikidata.org/wiki/Q5033327,55.078,-2.952
Cape Coast Castle,Cape Coast Castle,https://www.wikidata.org/wiki/Q1254826,5.10333,-1.2425
Cape de Verde Islands,Cape Verde,https://www.wikidata.org/wiki/Q1011,15.91666667,-24.08333333
Cape of Good Hope,Cape of Good Hope,https://www.wikidata.org/wiki/Q4092,-34.35805556,18.47194444
Caraccas,Caracas,https://www.wikidata.org/wiki/Q1533,10.5,-66.93333333
Carinish,Carinish,https://www.wikidata.org/wiki/Q5039639,57.52,-7.29
Carlingwork,Carlingwark Loch,https://www.wikidata.org/wiki/Q15207592,54.93,-3.93361111
Carlise,Carlisle,https://www.wikidata.org/wiki/Q192896,54.88333333,-2.95
Carlisle,Carlisle,https://www.wikidata.org/wiki/Q192896,54.88333333,-2.95
Carlisle ,Carlisle,https://www.wikidata.org/wiki/Q192896,54.88333333,-2.95
Carlops,Carlops,https://www.wikidata.org/wiki/Q5041644,55.7833,-3.33333
Carluke,Carluke,https://www.wikidata.org/wiki/Q1011389,55.7337,-3.83427
Carmichael,"Carmichael, South Lanarkshire",https://www.wikidata.org/wiki/Q5043657,55.621,-3.723
Carmunnock,Carmunnock,https://www.wikidata.org/wiki/Q1009763,55.7895,-4.23753
Carnbee,"Carnbee, Scotland",https://www.wikidata.org/wiki/Q3660399,56.25,-2.75
Carniehill,Cairnie Hill,https://www.wikidata.org/wiki/Q5017697,56.3264,-3.1675
Carnock,Carnock,https://www.wikidata.org/wiki/Q3660486,56.084,-3.54
Carnoustie,Carnoustie,https://www.wikidata.org/wiki/Q1012395,56.5005,-2.71472
Carnwath,Carnwath,https://www.wikidata.org/wiki/Q1011368,55.7006,-3.625
Carrington,"Carrington, Lincolnshire",https://www.wikidata.org/wiki/Q5046424,53.0803,-0.044675
Carron,Carron Water,https://www.wikidata.org/wiki/Q5046685,56.96251944,-2.206019444
Carronshore,Carronshore,https://www.wikidata.org/wiki/Q5046689,56.02796111,-3.777372222
Carsfairn,Carsphairn,https://www.wikidata.org/wiki/Q3776689,55.2102,-4.26463
Carsi Hallaw (?),,,NA,NA
Carstairs,"Carstairs, South Lanarkshire",https://www.wikidata.org/wiki/Q1009254,55.7,-3.7
Carthagena,Cartagena,https://www.wikidata.org/wiki/Q162615,37.6,-0.9819444444
Castle Douglas,Castle Douglas,https://www.wikidata.org/wiki/Q1012300,54.941,-3.929
Castle-Douglas,Castle Douglas,https://www.wikidata.org/wiki/Q1012300,54.941,-3.929
Castlecraig,Castlecraig,https://www.wikidata.org/wiki/Q17840864,55.6842,-3.37462
Castleton,"Castletown, Highland",https://www.wikidata.org/wiki/Q1970441,58.59,-3.38
Cathcart,Cathcart Cemetery,https://www.wikidata.org/wiki/Q18205873,55.809,-4.265
Catrine,Catrine,https://www.wikidata.org/wiki/Q1010000,55.5009,-4.33672
Catterickbridge,Catterick Bridge,https://www.wikidata.org/wiki/Q5054076,54.3889,-1.65127
Causeway-End,Causeway End,https://www.wikidata.org/wiki/Q5054639,54.264,-2.789
Cawdor,Cawdor,https://www.wikidata.org/wiki/Q1028188,57.5135,-3.92693
Cellardyke,Cellardyke,https://www.wikidata.org/wiki/Q3664279,56.2167,-2.7
Ceres,Ceres,https://www.wikidata.org/wiki/Q33980,56.29205,-2.971445
Ceylon,Sri Lanka,https://www.wikidata.org/wiki/Q854,7,81
Chance Inn,No label defined,https://www.wikidata.org/wiki/Q3666100,56.28028,-3.013032
Chapel Rosan,Stoneykirk,https://www.wikidata.org/wiki/Q7619443,54.817,-4.983
