Source,Target,SourceLabel,TargetLabel,Name,Name_From_Loc,From_Loc_Address,Type,Subtype,Travel_Frequecy,Directory,Date,Travel_Cost,Capacity_Persons,Notes,X
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q18125,Edinburgh,Manchester,,Kendel's,Hist at Hogg's Bri. Str.,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q18125,Glasgow,Manchester,English Carriers,Henderson's,"north corner of the Bowling Green, Candlerigs",Carrier,,150,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q18125,Glasgow,Manchester,English Carriers,Scott's,Brunswick,Carrier,,200,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1020265,Edinburgh,Manchline,,,,Post,,150,postofficeannual18241825edin,1794,4,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q3849623,Edinburgh,Markinch,,Morrison's,head of Dickson's close,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1020265,Edinburgh,Mauchline,,Campbell's,Grass-market,Carrier,,"""one 2 week""",postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q1020265,Glasgow,Mauchline,,Miller's; Gentles',"nearly opposite the Potatoe Market, King street; entry to st. Andrew's square fromt eh Gallowgate",Carrier,,50,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q603616,Edinburgh,Maybole,,,,Post,,350,postofficeannual18241825edin,1794,5,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q603616,Glasgow,Maybole,,White's,"Currie's closs, Highstreet",Carrier,,50,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q6813083,Edinburgh,Melleston,,Scott's,Candlemaker-row,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q632993,Edinburgh,Melrose,,Ogg's,head of Horse wyne,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q632993,Edinburgh,Melrose,,,,Post,,150,postofficeannual18241825edin,1794,3,,,
https://www.wikidata.org/wiki/Q23436,,Edinburgh,Melvil,,Stewart's,head of Skinner's close,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q938271,Edinburgh,Methill,,McCallum's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q4115,Edinburgh,Mid Calder,,Scouler's and Proudfoot's,Grass-market,Carrier,,100,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q4115,Edinburgh,Mid Calder,,,,Post,,150,postofficeannual18241825edin,1794,2,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q18160858,Edinburgh,Middleton,,Landel's,Cowgate head,Carrier,,50,postofficeannual18241825edin,1794,,,,
